zone,time_elapsed,power_j,watts,watts_since_last,start_power,prev_power,prev_power_reading
package-0,28.028914824,593.5474449999965,21.176330304786863,21.687992172411356,33902.944687,571.8454579999961,34496.492132
core,28.029018816,465.7440720000013,16.616616564103854,17.092730402927383,26566.32213,448.64031199999954,27032.066202
uncore,28.029084949,19.908592,0.7102901775531015,0.756979536244869,1572.511085,19.15112399999998,1592.419677
package-0,29.02975978,614.935132999999,21.182968484354998,21.368865042909693,33902.944687,593.5474449999965,34517.87982
core,29.029843207,482.58370099999956,16.62379457728333,16.824808715817632,26566.32213,465.7440720000013,27048.905831
uncore,29.029918257,20.634796999999935,0.7108168505507432,0.7255658787655327,1572.511085,19.908592,1593.145882
package-0,30.030579581,636.216594999998,21.18567289175453,21.2641170298507,33902.944687,614.935132999999,34539.161282
core,30.030680747,499.302760999999,16.626515327686324,16.70543351152756,26566.32213,482.58370099999956,27065.624891
uncore,30.030747746,21.367653999999902,0.7115314684744894,0.7322597016194339,1572.511085,20.634796999999935,1593.878739
package-0,31.03136061,657.5752769999963,21.19071239834628,21.341932680495113,33902.944687,636.216594999998,34560.519964
core,31.031568666,516.1210600000013,16.63227515956278,16.805110215064634,26566.32213,499.302760999999,27082.44319
uncore,31.033463626,22.0957199999998,0.712046307292034,0.7274950560599426,1572.511085,21.367653999999902,1594.606805
package-0,32.034138921,679.6134439999951,21.215321780370484,21.976858356034686,33902.944687,657.5752769999963,34582.558131
core,32.034231852,533.5990529999981,16.65722729742822,17.429370442138687,26566.32213,516.1210600000013,27099.921183
uncore,32.034282717,22.817239999999856,0.7122800365614032,0.719512781668649,1572.511085,22.0957199999998,1595.328325
package-0,33.034921641,701.242376999995,21.227350105343092,21.612371461361494,33902.944687,679.6134439999951,34604.187064
core,33.035000633,550.9458730000006,16.677715607117374,17.333537327681817,26566.32213,533.5990529999981,27117.268003
uncore,33.035039745,23.27701000000002,0.7046197675466155,0.45941794848565576,1572.511085,22.817239999999856,1595.788095
package-0,34.037294866,722.9178299999985,21.239026682000915,21.62384220811788,33902.944687,701.242376999995,34625.862517
core,34.037508499,568.0052020000003,16.687757778492404,17.018709526961395,26566.32213,550.9458730000006,27134.327332
uncore,34.037555584,24.016427999999905,0.7055927159776276,0.73765739326588,1572.511085,23.27701000000002,1596.527513
package-0,35.038097665,744.5308479999949,21.249208681681274,21.595494853988978,33902.944687,722.9178299999985,34647.475535
core,35.038165491,585.066866000001,16.69804274969593,17.047830946726968,26566.32213,568.0052020000003,27151.388996
uncore,35.038201756,24.736253999999917,0.705982599191209,0.7192423880260653,1572.511085,24.016427999999905,1597.247339
package-0,36.038697386,766.0995110000003,21.25771904555188,21.55572676170397,33902.944687,744.5308479999949,34669.044198
core,36.038775736,602.1018279999989,16.707113518099053,17.02474493981717,26566.32213,585.066866000001,27168.423958
uncore,36.040704221,25.468500999999833,0.7066996271315376,0.7318078201727954,1572.511085,24.736253999999917,1597.979586
package-0,37.041338197,787.4005799999941,21.25737764780743,21.245106457759306,33902.944687,766.0995110000003,34690.345267
core,37.041430051,618.8167829999984,16.706137111344734,16.671041176935734,26566.32213,602.1018279999989,27185.138913
uncore,37.041480142,26.2069419999998,0.7075062899854426,0.7365009548477655,1572.511085,25.468500999999833,1598.718027
package-0,38.042099713,808.8560129999969,21.262156628413333,21.43904096654828,33902.944687,787.4005799999941,34711.8007
core,38.042161623,635.7057720000012,16.71060791613413,16.87608574735337,26566.32213,618.8167829999984,27202.027902
